+-----------+--------------------------+--------------------------+----------+-----------+---------+---------------------+---------------------+------------+---------+---------+---------+----------+----------+----------+----------+----------+----------+----------+----------+--------+--------+-------+------+------+------+
| serial_no | kintex_a_id              | kintex_b_id              | batch_id | db_status | burn_in | burn_in_start       | burn_in_stop        | burn_in_op | kin_lot | pro_lot | gbt_lot | ina_lot  | ltm_lot  | mos_lot  | op4_lot  | ok4_lot  | ok1_lot  | mem_lot  | sfp_lot  | e_test | p_test | a0    | a1   | b0   | b1   |
|   1101014 | 40020001017166292D310445 | 40020001017166292CD14585 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0104  | 0105 | 0106 | 0107 |
|   1101015 | 40020001017166292CF0C3C5 | 40020001017166292D110605 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0413  | 0406 | 0407 | 0408 |
|   1101016 | 40020001017166292CF0E5C5 | 40020001017166292CE04385 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0370  | 0371 | 0372 | 0373 |
|   1101017 | 40020001017166292C21A445 | 40020001017166292CF120C5 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0100  | 0101 | 0102 | 0103 |
|   1101018 | 40020001017166292D10C3C5 | 40020001017166292CF0C2C5 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0094  | 0095 | 0393 | 0392 |
|   1101019 | 40020001017166292CA06345 | 40020001017166292CC145C5 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0391  | 0390 | 0389 | 0388 |
|   1101020 | 40020001017166292CE063C5 | 40020001017166292CE02185 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0072  | 0073 | 0494 | 0495 |
|   1101021 | 40020001017166292D0143C5 | 40020001017166292D014305 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0068  | 0069 | 0070 | 0071 |
|   1101022 | 40020001017166292CA14245 | 40020001017166292CD0E285 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0384  | 0385 | 0386 | 0387 |
|   1101023 | 40020001017166292CA041C5 | 40020001017166292D108085 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0512  | 0513 | 0444 | 0449 |
